Monte Carlo simulation number,Training accuracy,Validation accuracy,Bare class F1,Kelp class F1,Mixed class F1,Red class F1,Bare class precision,Kelp class precision,Mixed class precision,Red class precision,Bare class recall,Kelp class recall,Mixed class recall,Red class recall,Depth MDA,Slope MDA,VRM MDA,Mean Curvature MDA,Northness MDA,Eastness MDA,Flat geomorphon MDA,Ridge geomorphon MDA,Shoulder geomorphon MDA,Slope geomorphon MDA,Footslope geomorphon MDA,Valley geomorphon MDA,Median SST MDA,Standard Deviation of SST MDA,Bare class depth MDA,Bare class slope MDA,Bare class VRM MDA,Bare class curvature MDA,Bare class northness MDA,Bare class eastness MDA,Bare class flat geomorphon MDA,Bare class ridge geomorphon MDA,Bare class shoulder geomorphon MDA,Bare class slope geomorphon MDA,Bare class footslope geomorphon MDA,Bare class valley geomorphon MDA,Bare class median SST MDA,Bare class standard deviation of SST MDA,Kelp class depth MDA,Kelp class slope MDA,Kelp class VRM MDA,Kelp class curvature MDA,Kelp class northness MDA,Kelp class eastness MDA,Kelp class flat geomorphon MDA,Kelp class ridge geomorphon MDA,Kelp class shoulder geomorphon MDA,Kelp class slope geomorphon MDA,Kelp class footslope geomorphon MDA,Kelp class valley geomorphon MDA,Kelp class median SST MDA,Kelp class standard deviation of SST MDA,Mixed class depth MDA,Mixed class slope MDA,Mixed class VRM MDA,Mixed class curvature MDA,Mixed class northness MDA,Mixed class eastness MDA,Mixed class flat geomorphon MDA,Mixed class ridge geomorphon MDA,Mixed class shoulder geomorphon MDA,Mixed class slope geomorphon MDA,Mixed class footslope geomorphon MDA,Mixed class valley geomorphon MDA,Mixed class median SST MDA,Mixed class standard deviation of SST MDA,Red class depth MDA,Red class slope MDA,Red class VRM MDA,Red class curvature MDA,Red class northness MDA,Red class eastness MDA,Red class flat geomorphon MDA,Red class ridge geomorphon MDA,Red class shoulder geomorphon MDA,Red class slope geomorphon MDA,Red class footslope geomorphon MDA,Red class valley geomorphon MDA,Red class median SST MDA,Red class standard deviation of SST MDA
1,0.725274725,0.692307692,0.75,0.705882353,0.615384615,0.666666667,0.714285714,0.631578947,0.727272727,0.714285714,0.789473684,0.8,0.533333333,0.625,17.66530363,13.72766409,19.29674367,6.874899574,4.21803823,3.029549268,7.137416593,1.619037214,-0.980454142,4.332884332,2.047484168,1.084286614,18.68140755,16.66353438,5.948297659,11.3859612,18.18942098,9.253579643,1.40401864,1.007755309,5.881583145,3.984993868,0.859166758,4.391483627,2.236290386,-1.002333725,6.842920402,5.47361186,14.21903587,9.433623364,9.981318696,-0.720345385,1.197701895,3.985559554,3.944223523,-0.707225105,-1.291723836,0.808640026,0.321750388,0.179851028,16.75229513,8.099634985,4.015906413,1.367786834,4.988036005,-0.371954719,5.184774661,-1.662303024,4.60886684,0.691768881,-0.725423556,1.95574952,0.617987672,0.646355751,5.533274729,15.80233453,14.59194187,2.293119979,5.432062017,3.178628088,1.990760492,1.479767609,0.707876989,-2.328754729,-0.770882672,2.050677419,2.375724585,1.392994333,3.605786081,4.885180705
2,0.702857143,0.722222222,0.782608696,0.789473684,0.6875,0.571428571,0.857142857,0.681818182,0.6875,0.615384615,0.72,0.9375,0.6875,0.533333333,16.74652223,13.73420797,14.70963418,5.95492349,5.021580761,7.893719998,10.49359276,1.272833602,-0.973902179,6.689467501,2.906733512,-0.244729761,11.48700218,13.03839483,6.74541556,12.64193213,12.53545092,8.17784905,1.939236766,0.319628074,10.1737864,5.502765865,-3.443492066,6.366027521,1.98914627,-0.174626556,5.560522872,7.103555662,11.11919203,6.588685765,7.635307822,1.503319575,2.208543659,10.29582668,3.345039001,-0.323628445,-1.479336096,0.888374967,-1.086301286,-0.397860832,11.39926389,6.180084712,-2.140738001,-0.664811328,1.730427054,-1.440968664,5.048961707,0.365381319,6.917644441,-0.819051911,2.350270763,1.389008316,2.581000812,-0.544289599,5.741677152,12.17852187,16.27973077,2.607310382,5.065970362,-0.987066325,1.512883226,2.844909475,1.666692955,-2.155906772,0.809957034,3.789624799,2.92622211,1.002333725,-0.08684106,5.638535801
3,0.742331288,0.69047619,0.695652174,0.769230769,0.625,0.56,0.761904762,0.735294118,0.588235294,0.583333333,0.64,0.806451613,0.666666667,0.538461538,17.81785232,12.37733194,15.34294044,3.886283221,5.201488426,5.312482596,9.408587689,3.668962416,2.409536772,4.300089146,1.939228445,-1.418922935,12.11476808,17.95336209,6.347318017,10.61506639,13.2904742,5.302676175,-0.73433215,0.429643896,8.536172409,5.784041434,2.17294474,4.005273971,1.886906426,0,4.63312886,4.307936538,11.9838397,5.715647876,11.24239588,-1.576708264,2.480491125,4.476211171,5.591204269,1.595371233,0.536304817,0.386573696,-1.172303931,-1.409763846,10.60043396,7.82564437,7.739903285,1.69149262,7.146236067,1.311183059,5.078313305,3.159417328,7.241671998,0.748247489,-1.14192704,1.119118453,0.066777009,0,6.12948235,18.4734016,13.13755958,3.829609175,5.486700683,0.171127208,2.131045966,2.098033705,-0.276570919,-0.923131173,2.537703455,2.575706792,3.259380704,0,2.067189158,7.121383797
4,0.717514124,0.7,0.775510204,0.711111111,0.666666667,0.56,0.826086957,0.615384615,0.7,0.636363636,0.730769231,0.842105263,0.636363636,0.5,21.25709365,13.84970481,14.78086505,8.129140257,6.314388659,4.269130935,9.269174998,2.054153269,0.944384869,3.646092764,0.81716542,-1.939887074,13.73550247,11.38735355,5.2830073,10.36122253,12.8862781,9.504650796,0.906301322,0.324413451,8.609689005,3.477547833,0,2.808409538,0.435157626,-0.108468197,5.301968879,0.813358768,16.35221997,8.836259692,8.541368602,-0.178320906,3.138787076,6.426140423,5.160694928,1.517089379,-0.106892888,0.089802958,-0.201407855,0.130988794,15.13395527,5.003325408,5.090748394,4.013126306,7.143468235,0.340211725,7.093612619,0.001186979,6.586277943,1.476188821,0.781978472,2.449094077,0.421366523,-2.426827022,6.269279248,12.87634548,14.83469641,4.927850316,4.073666584,3.956145697,0.948949928,-0.860302639,0.665184246,-1.813506889,0.961279777,0.892702167,1.373638198,0,0.60583181,5.187062583
5,0.73255814,0.666666667,0.723404255,0.681818182,0.551724138,0.666666667,0.68,0.681818182,0.8,0.555555556,0.772727273,0.681818182,0.421052632,0.833333333,23.22845614,11.83536347,16.66740601,5.433688338,7.081155416,6.643591825,10.86731262,0.549999154,0.464387493,5.83162826,2.035966245,0.231283284,15.07021239,13.9476082,6.874506102,11.51977117,13.48705145,5.138933062,1.525761952,1.970691875,9.840336403,3.342893593,1.21242443,6.864086038,1.693409317,-0.064216746,6.560889064,5.902061224,18.7152311,7.6152892,10.58986883,1.557511387,2.404731884,6.565151512,4.632380225,-2.336827742,-0.837442144,-1.039696278,0.256412634,0.249876989,14.74658205,6.901448404,3.188737279,0.356143001,6.483322045,1.481963934,6.860699625,2.522186148,6.071703654,1.944578967,-1.002333725,0.065360043,0.525563009,0.183490614,7.391504409,13.48061814,17.11943704,0.338842774,4.450518375,1.757990263,2.570575364,0.489728703,7.94888142,-2.33027356,1.733888984,0.065842315,2.210450127,-0.168507913,0.584738418,4.152057792
6,0.717647059,0.753246753,0.826086957,0.740740741,0.689655172,0.72,0.826086957,0.869565217,0.588235294,0.642857143,0.826086957,0.64516129,0.833333333,0.818181818,20.926907,11.81485961,16.9940167,9.003623651,7.533940927,8.236794089,8.525189039,4.669079631,-1.14865869,6.814927772,5.01867101,0.504886438,10.8507073,17.23633089,8.411267421,10.66698794,15.04699571,9.271547486,3.523742323,2.846679393,8.245012487,5.426653396,0.28493972,6.074282456,4.329489213,1.554270723,4.60318911,4.242106149,11.20292058,5.744932397,7.581091433,1.259628863,0.451958807,8.14776566,2.419668901,1.244838293,0.134715691,3.768438601,-1.910160834,-0.867341975,8.165885909,9.919405388,8.071415481,3.774550946,3.002479808,4.62001944,7.756104519,2.839365109,5.242265048,1.978646239,-2.21837535,1.514225712,2.444600343,0,5.246813584,16.67370262,17.34475949,2.723531597,9.537405473,1.529770069,2.49486388,2.666334047,3.022234433,0.765490372,-1.438812585,2.382914441,3.755894454,1.002333725,2.239598072,6.929616565
7,0.664804469,0.779411765,0.844444444,0.869565217,0.75862069,0.375,0.904761905,0.909090909,0.733333333,0.3,0.791666667,0.833333333,0.785714286,0.5,20.56761627,12.32909986,17.94353635,7.404941942,6.658748521,7.964475799,9.701012881,1.648770175,0.426453104,5.860396605,3.679832203,1.515597257,10.90725991,14.9027488,4.815548662,10.05485184,13.04566259,6.769681652,1.485033491,2.135846757,9.437538464,2.045747556,1.286325251,4.170504572,1.380228788,0.185189586,3.516775674,3.324122554,18.3240695,5.484662878,11.46739653,0.781978643,3.875338307,8.458567953,4.652011934,-1.175370927,0.364617992,4.588639948,2.457129572,1.414948014,11.16815873,7.792343518,1.97721586,0.835578949,5.121716512,0.946893662,5.942754384,0.122226421,6.631175386,-0.350961817,-2.453631458,-1.110818725,2.047873626,-0.08675951,4.117867592,13.70526984,17.46724794,5.065492915,7.697545586,4.281910231,2.294326215,4.583991557,3.057661558,2.544098802,0.321459258,3.226139964,3.57382082,1.72373147,2.673296723,8.764770054
8,0.720238095,0.658227848,0.638297872,0.72,0.705882353,0.518518519,0.576923077,0.72,0.857142857,0.5,0.714285714,0.72,0.6,0.538461538,24.95321383,17.83632389,15.04893328,3.998449686,1.884319937,1.127194112,6.967383753,3.594153594,0.038787695,6.391972859,3.421367042,-0.604042819,16.78220764,10.50706108,9.904719387,17.57624309,14.91431161,6.537560642,0.953458687,0.581121743,6.177721427,3.199497139,-0.671725465,6.400777156,2.412968427,-0.268018808,8.613298287,5.290085305,17.77165665,12.47499861,9.103371005,-2.163976225,0.172527945,0.744710702,5.341979797,2.744380885,-0.281548309,3.989190886,1.842689145,0.98233659,17.26375798,4.510010023,2.077216164,-1.059386695,0.444227455,-0.577503248,3.530131895,0.730734154,4.05852395,-1.632367239,-1.708201144,0.100822036,0.800103191,-1.002333725,4.613999851,8.658937429,18.35599717,1.237353076,6.160250553,0.36464244,-0.562803039,0.191683634,1.761862185,1.562765534,1.944204492,2.190780487,1.859198578,-1.419214283,0.093112049,5.110781239
9,0.695402299,0.726027397,0.8,0.755555556,0.6875,0.647058824,1,0.68,0.733333333,0.578947368,0.666666667,0.85,0.647058824,0.733333333,19.02668263,12.86454941,15.17346346,8.775144388,6.548179664,4.170285991,10.66529225,2.826331416,-0.471626764,5.528747698,0.373399926,-1.036452953,12.85426517,13.8680599,5.195506207,12.20168361,14.28040835,9.993708509,0.700231082,3.680771997,10.23227781,4.636256018,-1.844202374,4.889582885,-0.083986234,0,5.813988019,2.88878432,15.25846402,7.647082903,9.492630106,0.295673609,4.191882844,4.80636934,3.426443023,0.655049799,-0.751933325,3.293599438,-0.254318609,0,12.6397999,7.121848477,3.301297057,0.027554246,1.951524782,1.546949884,6.695430913,-2.144097761,6.690508387,1.615912759,-0.419612059,2.356047906,1.378034378,-1.18231903,3.375604726,14.45630521,13.20732684,2.875394703,6.189504494,3.372552186,0.272311033,-0.421427151,3.255584316,-0.685152745,1.497641136,1.662566105,1.002333725,0,2.579296328,4.283471451
10,0.742857143,0.763888889,0.816326531,0.808510638,0.666666667,0.666666667,0.833333333,0.826086957,0.75,0.588235294,0.8,0.791666667,0.6,0.769230769,19.80842648,13.31653532,15.76218864,4.65949062,4.911338869,4.530589887,9.331114818,3.059626404,-1.181986145,5.080234952,3.521265184,-0.185885303,16.4968136,16.87209171,6.670741577,10.34519756,13.21961031,4.328754741,0.628146439,0.382670769,8.05779184,2.761145726,0.039749663,5.346274046,1.794235328,1.002333725,5.24387587,4.39204792,13.80884952,9.119482807,9.99803113,-1.401807554,3.441217587,5.465026004,5.529475642,2.086364162,-0.641555877,0.716484726,-0.164699552,0.452368186,13.37755193,7.840358326,6.423407094,3.477153141,2.572339437,1.380725113,6.330206406,1.269759603,6.546425778,1.042730211,-0.849112288,2.513232101,3.461526847,-1.855253594,6.632131605,16.95172696,16.01959461,3.444854341,7.711058111,3.330503633,-0.979924038,1.328635175,2.069705412,0.546252696,-0.926946769,-0.962631063,2.464327408,0,2.888718151,3.737749888
